"Title","Date_received","Opinion","Number_of_Findings","Nature_of_Findings",
"244 - Bernalillo County Metropolitan Court (2002)","2002-12-16","Unqualified","4","PY (1) accounts receivable listing unreliable, (1) processing of citations procedures inadequate account for citations delivered to the court, CY (1) no cashier numbers assigned to transactions/cash drawers, (1) over budget in one appropriation unit ",
"244 - Bernalillo County Metropolitan Court (2003)","2003-12-15","Unqualified","4","2 PY - (1)AR-Agency funds. (1)Processiong of citations - Agency funds. - 2 CY - (1)Verification of hours worked. (1)Custody of Vendor checks. ",
"244 - Bernalillo County Metropolitan Court (2004)","2004-12-15","Unqualified","2","1 PY - (1)Accounts receivable - Agency funds. - 1 CY - (1)Formal information technology security policy. ",
"244 - Bernalillo County Metropolitan Court (2005)","2005-12-15","Unqualified","4","4 CY: 1) Accounts payable - agency funds; 2) IT programming and maintenance of computer systems; 3) Capital asset deletions; 4) Verification of court contracts.",
"244 - Bernalillo County Metropolitan Court (2006)","2006-12-15","Unqualified","4","2 PY: 1) Lack of accounts receivable listing for fines &amp; fees; 2) IT programming &amp; maintenance of computer systems. 2 CY 1) Capital asset records are inadequate; 2) Parking facility alleged embezzlement.",
"244 - Bernalillo County Metropolitan Court (2007)","2007-12-17","Unqualified","4","PY&amp;CY-1 1)A list of the Court&#039;s outstanding judgements wasn&#039;t available for review &amp; testing by the auditor&#039;; fines &amp; fees outstanding for judicial orders aren&#039;t reflected in the Court&#039;s financial stmt nor is there any provision for uncollectible accounts CY-3 1)SHARE reports, trail balances, revenues &amp; expednitures reports, fund balance sheets, &amp; budget to actual reports weren&#039;t generated acurately &amp; timely during the fiscal yr, so the Court couldn&#039;t monitor the reports timely 2)The Court didn&#039;t perform timely reconciliations of the Court&#039;s GL Investment in State Treasurer&#039;s Office (STO) Pool account balance to the STO&#039;s balance 3)A significant number of journal entries were generated &amp; posted to the Court&#039;s GL in the SHARE accounting system; a number of material correcting entries were posted after the end of the fiscal yr",
"244 - Bernalillo County Metropolitan Court (2008)","2008-12-15","Unqualified","3","<p>CY-3 1)Untimely reversions 2)Agency cash reconciliations 3)Accrued liabilities account reconciliation</p>",
"244 - Bernalillo County Metropolitan Court (2009)","2009-12-01","Unqualified","0","",
"244 - Bernalillo County Metropolitan Court (2010)","2010-12-10","Unqualified","0","",
"244 - Bernalillo County Metropolitan Court (2011)","2011-12-07","Unqualified","0","",
"7007 - Bernalillo Public Schools (1998)","1998-01-01","Unqualified","15","Over Bud, F/A (3), Purch (4), Act. Fund Recon, P/R (4), Inv, Cash Recon. ",
"7007 - Bernalillo Public Schools (1999)","1999-01-01","Unqualified","6","1 PY repeated ",
"7007 - Bernalillo Public Schools (2000)","2000-01-01","Unqualified","3","(1)Receipts, (2)FA ",
"7007 - Bernalillo Public Schools (2001)","2001-11-15","Unqualified","6","(1)PY-FA (1)Gate receipts (1)Excess overtime (1)Activity fund reconciliation (1)FA reporting (1)Completion of IRS form I-9 ",
"7007 - Bernalillo Public Schools (2002)","2003-03-07","Unqualified","12","-4 PY - (1)Fixed Assets. (1)Fixed Asset reporting. (1)Payroll personnel. (1)Reconciliation of Activity Funds. - 8 CY - (1)Purchasing violations. (1)Payroll policies. (1)Activity Funds - proper supporting documentation. (1)Authorized check signor for Athle ",
"7007 - Bernalillo Public Schools (2003)","2003-11-15","Unqualified","0"," ",
"7007 - Bernalillo Public Schools (2004)","2004-11-15","Unqualified","3","3 CY: 1) Segregation of duties; 1) Lack of supporting documentation; 1) Lack of authorization for expenditures.",
"7007 - Bernalillo Public Schools (2005)","2005-11-15","Unqualified","11","11 CY: 1) Authorization of payments; 2) Procurement; 3) Personal use of auto; 4) Lack of supporting documentation; 5) Student activity funds; 6) Fixed assets; 7) Segregation of duties; 8) Student activity funds; 9) Budgetary conditions; 10) School cash reconciliation; 11) Budgetary conditions.",
"7007 - Bernalillo Public Schools (2006)","2007-10-05","Qualified","14","PY&amp;CY-7 1)Lack of supporting documentation 2)Student activity funds-not submitted in a timely manner 3)Capital assets-no updated list of depreciation 4)Lack of segregation of duties 5)Budgetary conditions-expenditures exceeded budgetary authority/VILLAGE CHARTER SCHOOL 6)No school cash reconciliations 7)Budgetary conditions-expenditures exceeded budgetary authority CY-7 1)Late audit report 2)Not formalized disaster plan/ VILLAGE CHARTER SCHOOL 3)Cash receipts-untimely deposits 4)Cash disbursements-no supporting documents 5)None submission of data collection form &amp; reporting package 6)Period availability-noncompliance with federal requirements",
"7007 - Bernalillo Public Schools (2007)","2008-10-27","Unqualified","26","<p>PY-10 1)Late Audit Report&nbsp;2)Disaster recovery plan 3)Student activity fund-bank reconciliation 4)Capital asset depreciation listing not provided 5)Actual expenditures exceeded budgeted expenditures 6)Cash reconciliations Component Unit Findings (CU) 7)CU-Actual expenditures exceeded budgeted expenditures 8)CU-Cash disbursements 9)CU-Segregation of duties 10)Data Colleciton Form filed late to federal clearinghouse CY-16 1)Inadequate maintenance of deductions, pay schedules, personnel files 2)Lack of supporting documentation-travel and per diem 3)Segregation of duties-pre-numbered receipts 4)CU-Board minutes 5)CU-Retiree health care 6)CU-State taxpapyer indentification number 7)CU-Cash receipts 8)CU-Payroll violations 9)CU-Internal controls over non-standard journal entries 10)CU-Internal control over travel and per diem and lack of documentation 11)CU-Financial statement accountability 12)CU-ERB reports and contributions 13)CU-Payroll processing 14)CU-Internal control structure standards 15)CU-Late Aud",
"7007 - Bernalillo Public Schools (2008)","2009-04-15","Unqualified","13","<p>PY-13 1)Late Audit Report 2)The District has not formalized and implemented a disaster recovery plan 3)Student activity bank recnolciliations are not being submitted timely 4)The District was not able to provide an updated list of depreciation for capital assets in a timely manner 5)Expenditures in excess of budget 6)Expenditures in excess of budget-Village Academy Charter&nbsp;[VAC]&nbsp;7)VAC-lack of supporting documentation for disbursements 8)VAC-the charter school does not use a pre-numbered receipt book, also deposits wrer not recorded within the 24 hours 9)VAC-payroll violation 10)VAC-Internal controls over travel and perdiem and the lack of supporting documentation 11)VAC - ERB reports and contributions 12)VAC-the charter school is not in compliance with NMAC&nbsp;6.20.2.11&nbsp; 13)VAC-late audit report&nbsp;</p>",
"7007 - Bernalillo Public Schools (2009)","2009-10-30","Unqualified","19","",
"7007 - Bernalillo Public Schools (2010)","2010-11-08","Unqualified","14","",
"7007 - Bernalillo Public Schools (2011)","2011-11-15","Unqualified","9","",
"3039 - Blanco MDWCA (2005)","2006-07-17","Unqualified","3","PY-1 1)Inadequate segregation of duties CY-2 1)Late Audit Report 2)G/L Accounts not reconciled in a timely manner",
"3039 - Blanco MDWCA (2006)","2007-04-30","Unqualified","3","PY-1 1)Inadequate segregation od duties CY-2 1)G/L accounts not reconciled in a timely manner 2)Late Audit Report",
"3039 - Blanco MDWCA (2007)","2008-04-30","Unqualified","5","<p>PY-2 1)Inadequate segregation of accounting duties 2)General Ledger accounts not reconciled on a timely basis&nbsp; CY-3 1)Grants not recorded on the General Ledger 2)Auditor preparation of financial statements 3)Violation of the per diem and mileage act</p>",
"3039 - Blanco MDWCA (2008)","2009-08-26","Unqualified","6","",
"3039 - Blanco MDWCA (2009)","2010-01-28","Unqualified","4","",
"4015 - Bloomfield Irrigation District (2004)","2004-12-29","Unqualified","3","CY-3 1)Late Audit Report 2)Budget expenditures authority were exceeded 3)Violation of the open Meeting Act",
"4015 - Bloomfield Irrigation District (2005)","2005-10-27","Unqualified","2","CY-2 1)Violations of State Procurement code 2)Expenditures exceeded the budget",
"4015 - Bloomfield Irrigation District (2006)","2006-10-17","Unqualified","0","",
"4015 - Bloomfield Irrigation District (2007)","2007-11-13","Unqualified","0","",
"4015 - Bloomfield Irrigation District (2008)","2008-11-17","Unqualified","1","<p>CY-1 1)Failure to report income to Board Members for Board stipends</p>",
"4015 - Bloomfield Irrigation District (2009)","2009-11-05","Unqualified","0","",
"4015 - Bloomfield Irrigation District (2010)","2010-10-12","Unqualified","1","",
"4015 - Bloomfield Irrigation District (2011)","2011-07-29","In review","0","",
"7008 - Bloomfield Municipal Schools (1998)","1998-01-01","Unqualified","0"," ",
"7008 - Bloomfield Municipal Schools (1999)","1999-01-01","Unqualified","0"," ",
"7008 - Bloomfield Municipal Schools (2000)","2000-01-01","Qualified","5","(1)FA, (1)Trave/Perdiem, (1)G/L, (1)Credit Card, (1)Personnel File ",
"7008 - Bloomfield Municipal Schools (2001)","2001-11-07","Unqualified","2","(1)Deficit bank balances (1)Lack of timely monitoring of budget line items ",
"7008 - Bloomfield Municipal Schools (2002)","2002-11-04","Unqualified","3","PY (1) deficits bank balance at yr-end, CY (1) budget expenditures authority was exceeded, (1) accounting records were inadequate/budget detail not in agreement w/request submitted to SDE ",
"7008 - Bloomfield Municipal Schools (2003)","2003-10-17","Unqualified","0"," ",
"7008 - Bloomfield Municipal Schools (2004)","2004-11-15","Unqualified","2","2 CY: 1) Public monies unaccounted for; 1) Insufficient financial reporting system.",
"7008 - Bloomfield Municipal Schools (2005)","2005-09-20","Unqualified","0","None",
"7008 - Bloomfield Municipal Schools (2006)","2006-09-27","Unqualified","1","1 CY: Misappropriation of assets.",
"7008 - Bloomfield Municipal Schools (2007)","2007-11-15","Unqualified","1","CY-1 1)Depreciation not calculated correctly",
"7008 - Bloomfield Municipal Schools (2008)","2008-11-17","Unqualified","0","",
"7008 - Bloomfield Municipal Schools (2009)","2009-10-13","Unqualified","0","",
"7008 - Bloomfield Municipal Schools (2010)","2010-11-02","Unqualified","3","",
"7008 - Bloomfield Municipal Schools (2011)","2011-09-16","Unqualified","1","",
"4017 - Bluewater Water & Sanitation District (2004)","2005-03-22","Unqualified","5","PY-5 1)Annual Budget 2)Capital Assets 3)Audit Report 4)Insurance 5)Minutes",
"4017 - Bluewater Water & Sanitation District (2005)","2005-12-01","Qualified","3","CY-3 1)No approved budget for FY04-05 2)Capital assets-no historical listing 3)Insurance",
"4017 - Bluewater Water & Sanitation District (2010)","2012-01-05","Agreed Upon Procedure (No Opinion)","7","",
"4017 - Bluewater Water & Sanitation District (2011)","2012-04-05","Agreed Upon Procedure (No Opinion)","5","",
"404 - Board of Examiners for Architects (1999)","1999-01-01","Unqualified","0"," ",
"404 - Board of Examiners for Architects (2000)","2000-01-01","Unqualified","3","(1)Aims Trial Balance (1)Leave Authorizations (1)Internal Control ",
"404 - Board of Examiners for Architects (2001)","2001-11-30","Unqualified","0"," ",
"404 - Board of Examiners for Architects (2002)","2002-12-06","Unqualified","2","CY (1) credit cards not in compliance, (1) receipts not deposited within 24 hours ",
"404 - Board of Examiners for Architects (2003)","2003-11-04","Unqualified","1","CY (1) Board minutes not approved ",
"404 - Board of Examiners for Architects (2004)","2004-12-01","Unqualified","0","None",
"404 - Board of Examiners for Architects (2005)","2005-11-18","Unqualified","0","None",
"404 - Board of Examiners for Architects (2006)","2006-12-01","Unqualified","0","None",
"404 - Board of Examiners for Architects (2007)","2007-12-17","Unqualified","2","CY-2 1)Board experienced numerous problems with the implementation of SHARE 2)Board&#039;s expenditures for the fiscal yr exceeded its final approved budget by $1,901",
"404 - Board of Examiners for Architects (2008)","2008-12-01","Unqualified","0","",
"404 - Board of Examiners for Architects (2009)","2009-12-01","Unqualified","0","",
"404 - Board of Examiners for Architects (2010)","2010-11-18","Unqualified","1","",
"404 - Board of Examiners for Architects (2011)","2011-09-19","Unqualified","0","",
"449 - Board of Nursing (1999)","1999-01-01","Unqualified","0"," ",
"449 - Board of Nursing (2000)","2000-01-01","Unqualified","0"," ",
"449 - Board of Nursing (2001)","2001-12-11","Unqualified","0"," ",
"449 - Board of Nursing (2002)","2002-10-15","Unqualified","0"," ",
"449 - Board of Nursing (2003)","2003-12-15","Unqualified","0"," ",
"449 - Board of Nursing (2004)","2004-09-28","Unqualified","0","None",
"449 - Board of Nursing (2005)","2005-12-15","Unqualified","0","None",
"449 - Board of Nursing (2006)","2006-12-15","Unqualified","0","None",
"449 - Board of Nursing (2007)","2008-02-11","Unqualified","3","Cy-3 1)The Agency did not have timely recording &amp; maintenance of accounting records; accurate &amp; reliable account balance reporting for the trial balance including cash &amp; beginning fund balances were not available until 12/14/2007. 2)The Agency exceeded the budget in the general fund personnel category by $22,633. 3)Late Audit Report",
"449 - Board of Nursing (2008)","2008-12-15","Unqualified","3","<p>CY-3 1)Financial statement adjustments 2)Information technology controls-SHARE passwords 3)Performance appraisals</p>",
"449 - Board of Nursing (2009)","2009-12-15","Unqualified","2","",
"449 - Board of Nursing (2010)","2010-12-15","Unqualified","3","",
"449 - Board of Nursing (2011)","2011-12-13","Unqualified","3","",
"464 - Board of Professional Engineers & Land Surveyors (1999)","1999-01-01","Unqualified","1","Travel reimbursement reports ",
"464 - Board of Professional Engineers & Land Surveyors (2000)","2000-01-01","Unqualified","2","(1)Aims Trial Balance (1)Internal Control ",
"464 - Board of Professional Engineers & Land Surveyors (2001)","2001-10-19","Unqualified","1","Segregation of Duties ",
"464 - Board of Professional Engineers & Land Surveyors (2002)","2002-08-14","Unqualified","1","CY -(1) Segregation of Duties - Internal Control ",
"464 - Board of Professional Engineers & Land Surveyors (2003)","2003-11-18","Unqualified","5","1 PY - (1)Segregation of duties - Internal control. - 4 CY - (1)Payroll. (1)Compensated absences. (1)Cash receipts. (1)Financial records reconciliation. ",
"464 - Board of Professional Engineers & Land Surveyors (2004)","2004-12-15","Unqualified","4","3 PY - (1)Compensated absences. (1)Cash receipts. (1)Segregation of duties. - 1 CY - (1)Expenditure overpayment of travel reimbursement. ",
"464 - Board of Professional Engineers & Land Surveyors (2005)","2005-12-14","Unqualified","2","1 PY: 1) Expenditures. 1 CY: 1) Payroll.",
"464 - Board of Professional Engineers & Land Surveyors (2006)","2006-11-16","Unqualified","1","1 CY: There were payroll &amp; payroll tax form irregularities.",
"464 - Board of Professional Engineers & Land Surveyors (2007)","2008-01-04","Unqualified","1","CY-1 1)Late Audit Report",
"464 - Board of Professional Engineers & Land Surveyors (2008)","2008-11-24","Unqualified","0","",
"464 - Board of Professional Engineers & Land Surveyors (2009)","2009-12-01","Unqualified","0","",
"464 - Board of Professional Engineers & Land Surveyors (2010)","2010-12-07","Unqualified","4","",
"464 - Board of Professional Engineers & Land Surveyors (2011)","2011-12-14","Unqualified","2","",
"479 - Board of Veterinary Medicine (1999)","1999-01-01","Unqualified","1","Supporting documentation and purchase vouchers ",
"479 - Board of Veterinary Medicine (2000)","2000-01-01","Unqualified","1","Over expended budget ",
"479 - Board of Veterinary Medicine (2001)","2002-03-04","Unqualified","7","(1)PY - Budget Overexpenditure (5)CY - Cash Reconciliation/Other receivables/Missing or Unsupported Expenditures/Overdue Balances/State Treasurer Receipt Validation/Late Audit Report ",
"479 - Board of Veterinary Medicine (2002)","2003-05-12","Unqualified","3","3 PY - (1)The accounting records were inadequate/out of balance. (1) Deposits were not monitored to ensure proper recording taking place. (1)The audit report was late. ",
"479 - Board of Veterinary Medicine (2003)","2003-12-15","Unqualified","0"," ",
"479 - Board of Veterinary Medicine (2004)","2004-12-15","Unqualified","1","1 CY - (1)Timely deposits. ",
"479 - Board of Veterinary Medicine (2005)","2005-12-15","Unqualified","0","None",
"479 - Board of Veterinary Medicine (2006)","2006-12-15","Unqualified","1","1 CY: Monthly Review Process",
"479 - Board of Veterinary Medicine (2007)","2008-07-10","Unqualified","3","<p>CY-3 1)Public Information 2)Late Audit Report 3)Exit conference by telephone</p>",
"479 - Board of Veterinary Medicine (2008)","2009-07-01","Unqualified","4","",
"479 - Board of Veterinary Medicine (2009)","2009-12-15","Unqualified","2","",
"479 - Board of Veterinary Medicine (2010)","2010-12-14","Unqualified","0","",
"479 - Board of Veterinary Medicine (2011)","2011-10-07","Unqualified","0","",
"8001 - Border Soil & Water Conservation District (2004)","2006-01-04","Unqualified","0","",
"8001 - Border Soil & Water Conservation District (2005)","2006-06-27","Unqualified","0","",
"8001 - Border Soil & Water Conservation District (2006)","2007-03-15","Unqualified","0","",
"3045 - Brazito Mutual Domestic Water Consumers Association (2010)","2011-05-02","Agreed Upon Procedure (No Opinion)","3","",
"7048-A - Bridge Academy Charter High School (2007)","2009-07-01","Unqualified","16","",
"7048-A - Bridge Academy Charter High School (2008)","2009-07-01","Unqualified","16","",
"6160-B - Buckman Direct Diversion Project (City of Santa Fe) (2009)","2010-11-24","Unqualified","2","",
"3054 - Butterfield Park Mutual Domestic Water Consumers Association (2011)","2011-09-08","Agreed Upon Procedure (No Opinion)","5","",
"8002 - Caballo Soil & Water Conservation District (2004)","2006-01-04","Unqualified","2","PY&amp;CY-1 1)Non-compliance with Interstate Stream Loan Agreement CY-1 1)Expenditures exceed Budget",
"8002 - Caballo Soil & Water Conservation District (2005)","2006-04-20","Unqualified","2","<p>PY-2 1)Non-compliance with ISC Loan 2)Expenditures exceed Budget</p>",
"8002 - Caballo Soil & Water Conservation District (2006)","2008-07-21","Unqualified","4","<p>PY-1 1)Non-compliance with Interest stream Loan Agreement CY-3 1)Cash deposits not made in a timely manner 2)Improper classification of expenditure 3)Payroll irregularities</p>",
"10000 - Cabezon Public Improvement District (2008)","2009-03-01","Unqualified","6","<p>CY-6 1)Checks were mailed by the same person who prepares them 2)Invoices were not approved or reviewed by the District, in addition invoices are not marked as paid at the time the disbursement checks are written 3)No general ledger maintained 4)Overspending budget 5)Under-collateralized bank deposits 6)Late Audit Report</p>",
"10000 - Cabezon Public Improvement District (2009)","2009-12-01","Unqualified","3","",
"10000 - Cabezon Public Improvement District (2010)","2011-02-07","Unqualified","3","",
"10000 - Cabezon Public Improvement District (2011)","2012-03-16","Unqualified","1","",
"8003 - Canadian River Soil & Water Conservation District (2004)","2006-01-05","Unqualified","4","CY-4 1)Inaccurate payroll expenditures 2)Federal 941 reports not accurate 3)Cash handling 4)Procurement code",
"8003 - Canadian River Soil & Water Conservation District (2005)","2006-05-17","Unqualified","1","<p>CY-1 1)Federal 941 reports not accurate</p>",
"8003 - Canadian River Soil & Water Conservation District (2006)","2008-04-25","Unqualified","1","<p>CY-1 1)Federal 944 report not accurate</p>",
"8003 - Canadian River Soil & Water Conservation District (2010)","2011-12-01","Agreed Upon Procedure (No Opinion)","1","",
"8003 - Canadian River Soil & Water Conservation District (2011)","2011-12-01","Agreed Upon Procedure (No Opinion)","0","",
"3058 - Canjilon MDWCA (2008)","2009-10-16","Unqualified","5","",
"12003 - Canon De Carnue Land Grant (2010)","2012-01-25","Agreed Upon Procedure (No Opinion)","2","",
"3060 - Canon Mutual Domestic Water Consumers Association (2010)","2011-05-30","Agreed Upon Procedure (No Opinion)","2","",
"3064 - Canoncito @ Apache Canyon Mutual Domestic Water Consumers Assoc. (2010)","2012-02-10","Agreed Upon Procedure (No Opinion)","3","",
"7009 - Capitan Municipal Schools (1998)","1998-01-01","Unqualified","0"," ",
"7009 - Capitan Municipal Schools (1999)","1999-01-01","Unqualified","1","Hourly Employees Time Not Approved ",
"7009 - Capitan Municipal Schools (2000)","2000-01-01","Unqualified","0"," ",
"7009 - Capitan Municipal Schools (2001)","2001-11-15","Unqualified","0"," ",
"7009 - Capitan Municipal Schools (2002)","2003-02-10","Unqualified","1","CY - (1)The audit report was late ",
"7009 - Capitan Municipal Schools (2003)","2003-10-27","Unqualified","0"," ",
"7009 - Capitan Municipal Schools (2004)","2004-11-15","Unqualified","0","None",
"7009 - Capitan Municipal Schools (2005)","2005-11-03","Unqualified","0","None",
"7009 - Capitan Municipal Schools (2006)","2006-10-12","Unqualified","0","None",
"7009 - Capitan Municipal Schools (2007)","2007-11-15","Unqualified","0","",
"7009 - Capitan Municipal Schools (2008)","2008-11-14","Unqualified","0","",
"7009 - Capitan Municipal Schools (2009)","2009-09-03","Unqualified","0","",
"7009 - Capitan Municipal Schools (2010)","2010-11-15","Unqualified","4","",
"7009 - Capitan Municipal Schools (2011)","2011-10-14","Unqualified","3","",
"6192 - Capitan-Carrizozo Natural Gas Association (1998)","1998-01-01","Unqualified","0"," ",
"6192 - Capitan-Carrizozo Natural Gas Association (1999)","1999-01-01","Unqualified","1","Personal Use of Company Vehicle ",
"6192 - Capitan-Carrizozo Natural Gas Association (2000)","2000-01-01","Unqualified","0"," ",
"6192 - Capitan-Carrizozo Natural Gas Association (2001)","2001-11-15","Unqualified","0"," ",
"6192 - Capitan-Carrizozo Natural Gas Association (2002)","2002-11-05","Unqualified","1","CY (1)unsecured public funds, either uninsured or under-collateralized ",
"6192 - Capitan-Carrizozo Natural Gas Association (2003)","2003-11-26","Unqualified","0"," ",
"6192 - Capitan-Carrizozo Natural Gas Association (2004)","2004-12-01","Unqualified","0","None",
"6192 - Capitan-Carrizozo Natural Gas Association (2005)","2006-03-02","Unqualified","1","1 CY: Late audit report.",
"6192 - Capitan-Carrizozo Natural Gas Association (2006)","2006-03-02","Unqualified","0","None",
"4048 - Carlsbad Irrigation District (2004)","2005-01-26","Unqualified","0","",
"4048 - Carlsbad Irrigation District (2005)","2006-01-19","Unqualified","1","CY-1 1)Budget expenditures authority was exceeded",
"4048 - Carlsbad Irrigation District (2006)","2007-01-12","Unqualified","2","CY-2 1)Receiving of goods &amp; services 2)Expenditures exceed Budgeted appropriations",
"4048 - Carlsbad Irrigation District (2007)","2010-10-20","Unqualified","12","",
"4048 - Carlsbad Irrigation District (2008)","2012-01-12","Disclaimer","8","",
"4048 - Carlsbad Irrigation District (2009)","2012-01-12","Disclaimer","8","",
"4048 - Carlsbad Irrigation District (2010)","2012-01-12","Disclaimer","9","",
"4048 - Carlsbad Irrigation District (2011)","2012-04-05","Qualified","4","",
"7010 - Carlsbad Municipal Schools (1998)","1998-01-01","Unqualified","4","Unrecorded Rev and Exp, Inventory (2), Purchasing Procedures ",
"7010 - Carlsbad Municipal Schools (1999)","1999-01-01","Unqualified","4","1 PY repeated; Purchasing Procedures, Food Service Program, Pledged Collateral, P/R Deduction ",
"7010 - Carlsbad Municipal Schools (2000)","2000-01-01","Unqualified","1","(1)Compensation reconciliation ",
"7010 - Carlsbad Municipal Schools (2001)","2001-11-13","Unqualified","0"," ",
"7010 - Carlsbad Municipal Schools (2002)","2002-11-15","Unqualified","2","CY (1) travel/per diem act violations, (1) conflict of interest policy needs to be revised ",
"7010 - Carlsbad Municipal Schools (2003)","2003-11-15","Unqualified","3","CY - (1)There were unsecured public funds, either uninsured or undercollateralized. (1)There were purchase/procurement code violations. (1)The accounting records were inadequate/out of balance. ",
"7010 - Carlsbad Municipal Schools (2004)","2005-03-17","Unqualified","3","3CY: 1) The audit report was late. Finding 2004-2; 1) Internal control over receipts at school. Finding 2004-1; 1) Internal control over financial reporting (component unit) finding 2004-3.",
"7010 - Carlsbad Municipal Schools (2005)","2005-11-15","Unqualified","10","10 CY: 1) Natatorium receipts not timely deposited; 2) Disbursements exceeded amount of PO&#039;s; 3) Activity account being managed independently; 4) Failure to account for fixed asset deletions; 5) Payroll issues; 6) Disbursements; 7) Travel and per diem; 8) Incorrect payroll tax returns filed; 9) Improper loan of federal funds; 10) Open Meetings Act.",
"7010 - Carlsbad Municipal Schools (2006)","2007-08-06","In review","10","PY-3 1)Disbursement/Component Unit JMA 2)Disposition of Property/Comp Unit JMA 3)Inaccurate reporting of payroll tax returns/Comp Unit JMA CY-7 1)Late Audit Report/Comp Unit-Jefferson Montessori Academy 2)Bank Reconciliations/Comp Unit -JMA 3)Books were not ready in a timely manner/Comp Unit-JMA 4)Standardized Chart of Accounts/Comp Unit-JMA 5)Numbering of checks/Comp Unit-JMA 6)Segregation of Duties/Comp Unit-JMA 7)Failure to submit Data Collection form by due date",
"7010 - Carlsbad Municipal Schools (2007)","2007-11-15","Unqualified","7","PY&amp;CY-4 1)Charter School audit procedures 30 disbursements revealed: 4 PO&#039;s dated after invoices; 4 checks w/only one signature; &amp; 2 vouchers not found in files 2)Charter School bank reconciliations were untimely, incomplete &amp; contained numerous errors 3)Charter School didn&#039;t properly withhold FICA/Medicare fron employee payroll checks &amp; didn&#039;t properly report the related information on the quarterly 941 reports 4)Charter Schools lacks segregation in the financial accounting duties CY-3 1)District not in compliance w/regard to statutory requirement for pledged collateral for a bank deposit 2)Charter School expended 13 line tiems in excess of the budgeted amounts 3)Carlsbad Schools over-expended one fund",
"7010 - Carlsbad Municipal Schools (2008)","2008-11-17","Unqualified","1","<p>PY-1 1)Disbursements-purchase orders processed after pruchases</p>",
"7010 - Carlsbad Municipal Schools (2009)","2010-01-12","Unqualified","5","",
"7010 - Carlsbad Municipal Schools (2010)","2011-02-24","Unqualified","13","",
"7010 - Carlsbad Municipal Schools (2011)","2012-03-08","Unqualified","8","",
"8004 - Carlsbad Soil & Water Conservation District (2004)","2006-01-19","Unqualified","1","CY-1 1)Propriety of expenditures",
"8004 - Carlsbad Soil & Water Conservation District (2005)","2006-05-23","Unqualified","2","<p>CY-2 1)Lack of supporting documentation 2)Lack of Approved Budget for Re-Loan Fund</p>",
"8004 - Carlsbad Soil & Water Conservation District (2006)","2008-07-21","Unqualified","3","<p>CY-3 1)Deposits not made timely 2)Payroll errors 3)Over Expended Budget</p>",
"8004 - Carlsbad Soil & Water Conservation District (2007)","2008-12-10","Unqualified","7","<p>PY&amp;CY-7 1)Overexpended budget 2)Preparation of financial statements 3)Late audit report 4)The District did not record the Cash account or interest earned in the restricted cash account 5)Sealed bid process 6)The District received federal funds in advance of their disbursement 6)The District did not file the required Data Collection Form and reporting package within 9 months of the fiscal year end</p>",
"8004 - Carlsbad Soil & Water Conservation District (2008)","2008-12-10","Unqualified","4","<p>PY&amp;CY-4 1)Preparation of financial statements 2)The District did not record the Cash account or interest earned in the restricted cash account 3)Sealed bid process 4)The district received federal funds in advance of their disbursement</p>",
"8004 - Carlsbad Soil & Water Conservation District (2009)","2009-12-01","Unqualified","4","",
"8004 - Carlsbad Soil & Water Conservation District (2010)","2010-12-09","Unqualified","1","",
"8004 - Carlsbad Soil & Water Conservation District (2011)","2011-12-01","Unqualified","1","",
"7011 - Carrizozo Municipal Schools (1998)","1998-01-01","Unqualified","0"," ",
"7011 - Carrizozo Municipal Schools (1999)","1999-01-01","Unqualified","1","Reporting REC Financial Information ",
"7011 - Carrizozo Municipal Schools (2000)","2000-01-01","Unqualified","0"," ",
"7011 - Carrizozo Municipal Schools (2001)","2001-11-08","Unqualified","0"," ",
"7011 - Carrizozo Municipal Schools (2002)","2002-11-14","Unqualified","0"," ",
"7011 - Carrizozo Municipal Schools (2003)","2003-11-10","Unqualified","0"," ",
"7011 - Carrizozo Municipal Schools (2004)","2005-01-28","Qualified","2","2 CY: 1) Late audit report; 1) Capital assets.",
"7011 - Carrizozo Municipal Schools (2005)","2005-11-09","Unqualified","4","4 CY: 1) Asset disposal; 2) Wire transfer authority; 3) There were purchase/procurement code violations; 4) There were payroll irregularities.",
"7011 - Carrizozo Municipal Schools (2006)","2006-11-03","Unqualified","0","None",
"7011 - Carrizozo Municipal Schools (2007)","2007-11-15","Unqualified","1","CY-1 1)Audit Report was late",
"7011 - Carrizozo Municipal Schools (2008)","2008-11-14","Unqualified","0","",
"7011 - Carrizozo Municipal Schools (2009)","2009-09-25","Unqualified","0","",
"7011 - Carrizozo Municipal Schools (2010)","2010-11-15","Unqualified","6","",
"7011 - Carrizozo Municipal Schools (2011)","2011-10-14","Unqualified","0","",
"8005 - Carrizozo Soil & Water Conservation District (2004)","2006-01-04","Unqualified","1","CY-1 1)Past due low interest loan",
"8005 - Carrizozo Soil & Water Conservation District (2005)","2006-07-03","Unqualified","2","<p>PY-1 1)Past due low interest loan&nbsp; CY-1 1)District Supervisor hired to work on cost share project</p>",
"8005 - Carrizozo Soil & Water Conservation District (2006)","2007-06-07","Unqualified","2","<p>PY-1 1)Past due low interest loan&nbsp; CY-1 1)Lack of supporting documentation for a cost share project</p>",
"8005 - Carrizozo Soil & Water Conservation District (2007)","2008-12-01","Unqualified","2","<p>CY-2 1)Late Audit report 2)Past Due low interest loan</p>",
